springA,springB,springC,A_predict,B_predict,C_predict,summerA,summerB,summerC,A_predict,B_predict,C_predict,autumnA,autumnB,autumnC,A_predict,B_predict,C_predict,winterA,winterB,winterC,A_predict,B_predict,C_predict
41.6,44.7,43.6,41.6,44.83,43.62,40.7,45.5,43.9,40.64,45.45,43.81,36.1,40.5,39.2,36.13,40.46,39.12,36,40.6,39.2,35.96,40.48,39.11
41.6,44.7,43.6,41.6,44.81,43.61,40.7,45.5,43.9,40.63,45.45,43.81,36.1,40.5,39.2,36.14,40.46,39.12,36,40.6,39.2,35.96,40.48,39.11
41.6,44.7,43.6,41.6,44.8,43.61,40.7,45.5,43.9,40.63,45.45,43.81,36.1,40.5,39.2,36.15,40.46,39.12,36,40.6,39.2,35.96,40.48,39.11
41.6,44.7,43.6,41.6,44.79,43.6,40.5,45.2,43.7,40.44,45.22,43.61,36.1,40.5,39.2,36.16,40.46,39.12,36,40.6,39.2,35.96,40.47,39.1
41.6,44.6,43.5,41.6,44.75,43.58,40.5,45.2,43.7,40.41,45.19,43.58,36.1,40.5,39.1,36.16,40.46,39.11,36,40.5,39.1,35.95,40.44,39.08
41.6,44.6,43.5,41.6,44.73,43.56,40.5,45.2,43.7,40.43,45.21,43.6,36.1,40.5,39.1,36.17,40.45,39.1,36,40.5,39.1,35.95,40.42,39.06
41.6,44.6,43.5,41.59,44.71,43.55,40.5,45.2,43.7,40.44,45.21,43.6,36.1,40.5,39.1,36.17,40.45,39.1,36,40.5,39.1,35.95,40.41,39.04
41.6,44.6,43.5,41.59,44.69,43.53,40.5,45.2,43.7,40.43,45.19,43.59,36.1,40.5,39.1,36.18,40.44,39.09,36,40.5,39.1,35.95,40.39,39.03
41.6,44.6,43.5,41.59,44.67,43.52,40.5,45.2,43.7,40.43,45.18,43.58,36.1,40.5,39.1,36.19,40.44,39.09,36,40.5,39.1,35.95,40.38,39.02
41.6,44.6,43.5,41.58,44.66,43.51,40.5,45.2,43.7,40.42,45.17,43.57,36.1,40.5,39.1,36.2,40.44,39.08,36,40.5,39.1,35.95,40.38,39.02
41.6,44.6,43.5,41.58,44.65,43.5,40.5,45.2,43.7,40.42,45.17,43.56,36.1,40.5,39.1,36.21,40.44,39.08,36,40.5,39.1,35.95,40.37,39.02
41.6,44.6,43.5,41.58,44.63,43.49,40.5,45.2,43.7,40.42,45.17,43.56,36.1,40.5,39.1,36.21,40.44,39.08,36,40.5,39.1,35.95,40.37,39.01
41.6,44.6,43.5,41.58,44.62,43.49,40.5,45.2,43.7,40.42,45.17,43.56,36.1,40.5,39.1,36.22,40.44,39.08,36,40.5,39.1,35.95,40.37,39.01
41.6,44.6,43.5,41.58,44.62,43.48,40.3,45,43.5,40.28,45,43.41,36.1,40.5,39.1,36.23,40.44,39.07,36,40.5,39.1,35.95,40.36,39.01
41.5,44.6,43.4,41.56,44.61,43.47,40.3,45,43.5,40.25,44.98,43.39,36.2,40.5,39.2,36.26,40.45,39.09,36,40.5,39,35.95,40.35,39
41.5,44.6,43.4,41.55,44.6,43.46,40.3,45,43.5,40.26,45,43.41,36.2,40.5,39.2,36.27,40.45,39.09,36,40.5,39,35.95,40.34,38.99
41.5,44.6,43.4,41.55,44.6,43.44,40.3,45,43.5,40.26,45.01,43.41,36.2,40.5,39.2,36.29,40.46,39.1,36,40.5,39,35.95,40.34,38.98
41.5,44.6,43.4,41.54,44.59,43.44,40.3,45,43.5,40.26,45.01,43.41,36.2,40.5,39.2,36.31,40.46,39.11,36,40.5,39,35.95,40.33,38.98
41.5,44.6,43.4,41.53,44.59,43.43,40.3,45,43.5,40.26,45.01,43.4,36.2,40.5,39.2,36.32,40.47,39.11,36,40.5,39,35.95,40.33,38.97
41.5,44.6,43.4,41.53,44.59,43.42,40.3,45,43.5,40.26,45.01,43.4,36.2,40.5,39.2,36.33,40.47,39.12,36,40.5,39,35.96,40.33,38.97
41.5,44.6,43.4,41.52,44.59,43.41,40.3,45,43.5,40.27,45.01,43.4,36.2,40.5,39.2,36.34,40.48,39.13,36,40.5,39,35.96,40.32,38.97
41.5,44.6,43.4,41.52,44.58,43.41,40.3,45,43.5,40.27,45.02,43.41,36.2,40.5,39.2,36.34,40.48,39.13,36,40.5,39,35.96,40.32,38.97
41.5,44.6,43.4,41.52,44.58,43.4,40.3,45,43.5,40.28,45.03,43.41,36.2,40.5,39.2,36.35,40.48,39.14,36,40.5,39,35.96,40.32,38.96
41.5,44.6,43.4,41.51,44.59,43.4,40.2,44.8,43.2,40.12,44.83,43.24,36.2,40.5,39.2,36.35,40.48,39.14,36,40.5,39,35.96,40.32,38.96
41.5,44.4,43.3,41.51,44.55,43.38,40.2,44.8,43.2,40.12,44.82,43.23,36.3,40.5,39.2,36.38,40.49,39.15,36,40.4,39,35.96,40.31,38.96
41.5,44.4,43.3,41.51,44.53,43.36,40.2,44.8,43.2,40.16,44.83,43.25,36.3,40.5,39.2,36.39,40.49,39.15,36,40.4,39,35.96,40.3,38.95
41.5,44.4,43.3,41.5,44.52,43.35,40.2,44.8,43.2,40.18,44.83,43.26,36.3,40.5,39.2,36.4,40.49,39.16,36,40.4,39,35.96,40.29,38.95
41.5,44.4,43.3,41.5,44.5,43.34,40.2,44.8,43.2,40.18,44.82,43.25,36.3,40.5,39.2,36.41,40.49,39.16,36,40.4,39,35.96,40.28,38.94
41.5,44.4,43.3,41.5,44.49,43.33,40.2,44.8,43.2,40.19,44.82,43.24,36.3,40.5,39.2,36.42,40.49,39.16,36,40.4,39,35.96,40.28,38.94
41.5,44.4,43.3,41.49,44.48,43.32,40.2,44.8,43.2,40.19,44.81,43.24,36.3,40.5,39.2,36.43,40.49,39.17,36,40.4,39,35.96,40.27,38.94
41.5,44.4,43.3,41.49,44.47,43.31,40.2,44.8,43.2,40.2,44.81,43.24,36.3,40.5,39.2,36.43,40.49,39.17,36,40.4,39,35.96,40.27,38.94
41.5,44.4,43.3,41.49,44.46,43.31,40.2,44.8,43.2,40.2,44.81,43.24,36.3,40.5,39.2,36.44,40.49,39.17,36,40.4,39,35.96,40.27,38.94
41.5,44.4,43.3,41.49,44.45,43.3,40.2,44.8,43.2,40.21,44.82,43.24,36.3,40.5,39.2,36.45,40.49,39.17,36,40.4,39,35.97,40.27,38.94
41.5,44.4,43.3,41.49,44.44,43.29,40,44.6,43.1,40.07,44.66,43.1,36.3,40.5,39.2,36.45,40.49,39.18,36,40.4,39,35.97,40.27,38.94
41.5,44.3,43.2,41.49,44.42,43.28,40,44.6,43.1,40.06,44.64,43.09,36.3,40.5,39.2,36.46,40.5,39.18,36,40.3,38.9,35.96,40.25,38.92
41.5,44.3,43.2,41.49,44.4,43.26,40,44.6,43.1,40.06,44.65,43.1,36.3,40.5,39.2,36.46,40.5,39.18,36,40.3,38.9,35.96,40.24,38.91
41.5,44.3,43.2,41.49,44.38,43.25,40,44.6,43.1,40.06,44.65,43.1,36.3,40.5,39.2,36.46,40.5,39.18,36,40.3,38.9,35.96,40.22,38.91
41.5,44.3,43.2,41.48,44.37,43.24,40,44.6,43.1,40.04,44.64,43.09,36.3,40.5,39.2,36.47,40.5,39.18,36,40.3,38.9,35.96,40.21,38.9
41.5,44.3,43.2,41.48,44.36,43.23,40,44.6,43.1,40.03,44.62,43.08,36.3,40.5,39.2,36.47,40.5,39.19,36,40.3,38.9,35.96,40.21,38.89
41.5,44.3,43.2,41.48,44.35,43.22,40,44.6,43.1,40.02,44.62,43.08,36.3,40.5,39.2,36.47,40.5,39.19,36,40.3,38.9,35.96,40.2,38.89
41.5,44.3,43.2,41.48,44.34,43.21,40,44.6,43.1,40.01,44.61,43.07,36.3,40.5,39.2,36.48,40.5,39.19,36,40.3,38.9,35.95,40.2,38.89
41.5,44.3,43.2,41.48,44.34,43.2,40,44.6,43.1,40,44.61,43.07,36.3,40.5,39.2,36.48,40.5,39.19,36,40.3,38.9,35.95,40.2,38.89
41.5,44.3,43.2,41.48,44.33,43.2,40,44.6,43.1,40,44.6,43.06,36.3,40.5,39.2,36.48,40.5,39.19,36,40.3,38.9,35.95,40.19,38.89
41.5,44.3,43.2,41.48,44.32,43.19,39.9,44.5,43,39.91,44.51,42.98,36.3,40.5,39.2,36.48,40.5,39.19,36,40.3,38.9,35.96,40.19,38.89
41.5,44.3,43.1,41.48,44.31,43.18,39.9,44.5,43,39.89,44.49,42.97,36.4,40.5,39.2,36.51,40.51,39.2,36,40.2,38.9,35.95,40.18,38.88
41.5,44.3,43.1,41.48,44.3,43.17,39.9,44.5,43,39.89,44.49,42.97,36.4,40.5,39.2,36.52,40.51,39.2,36,40.2,38.9,35.95,40.17,38.87
41.5,44.3,43.1,41.48,44.3,43.16,39.9,44.5,43,39.88,44.49,42.97,36.4,40.5,39.2,36.53,40.52,39.21,36,40.2,38.9,35.96,40.16,38.87
41.5,44.3,43.1,41.47,44.29,43.15,39.9,44.5,43,39.87,44.48,42.96,36.4,40.5,39.2,36.53,40.52,39.21,36,40.2,38.9,35.96,40.15,38.87
41.5,44.3,43.1,41.47,44.29,43.14,39.9,44.5,43,39.86,44.47,42.95,36.4,40.5,39.2,36.54,40.52,39.21,36,40.2,38.9,35.96,40.15,38.86
41.5,44.3,43.1,41.47,44.29,43.13,39.9,44.5,43,39.86,44.47,42.94,36.4,40.5,39.2,36.55,40.52,39.22,36,40.2,38.9,35.96,40.15,38.86
41.5,44.3,43.1,41.47,44.29,43.12,39.9,44.5,43,39.85,44.46,42.94,36.4,40.5,39.2,36.55,40.52,39.22,36,40.2,38.9,35.96,40.14,38.86
41.5,44.3,43.1,41.47,44.28,43.12,39.9,44.5,43,39.85,44.46,42.94,36.4,40.5,39.2,36.55,40.52,39.22,36,40.2,38.9,35.96,40.14,38.86
41.5,44.3,43.1,41.47,44.28,43.11,39.9,44.5,43,39.84,44.46,42.93,36.4,40.5,39.2,36.55,40.52,39.22,36,40.2,38.9,35.97,40.14,38.86
41.5,44.3,43.1,41.46,44.28,43.11,39.8,44.3,42.8,39.75,44.35,42.83,36.4,40.5,39.2,36.56,40.52,39.22,36,40.2,38.9,35.97,40.14,38.86
41.5,44.2,43.1,41.46,44.27,43.1,39.8,44.3,42.8,39.74,44.32,42.81,36.5,40.5,39.2,36.57,40.53,39.22,36,40.2,38.9,35.97,40.14,38.86
41.5,44.2,43.1,41.46,44.26,43.09,39.8,44.3,42.8,39.74,44.31,42.8,36.5,40.5,39.2,36.58,40.53,39.23,36,40.2,38.9,35.97,40.13,38.86
41.5,44.2,43.1,41.46,44.25,43.09,39.8,44.3,42.8,39.74,44.3,42.79,36.5,40.5,39.2,36.59,40.53,39.23,36,40.2,38.9,35.97,40.13,38.86
41.5,44.2,43.1,41.46,44.24,43.08,39.8,44.3,42.8,39.75,44.29,42.78,36.5,40.5,39.2,36.6,40.53,39.23,36,40.2,38.9,35.98,40.13,38.86
41.5,44.2,43.1,41.46,44.23,43.08,39.8,44.3,42.8,39.75,44.29,42.78,36.5,40.5,39.2,36.6,40.53,39.23,36,40.2,38.9,35.98,40.13,38.86
41.5,44.2,43.1,41.46,44.23,43.08,39.8,44.3,42.8,39.75,44.28,42.77,36.5,40.5,39.2,36.6,40.53,39.24,36,40.2,38.9,35.98,40.13,38.86
41.5,44.2,43.1,41.46,44.22,43.07,39.8,44.3,42.8,39.75,44.28,42.77,36.5,40.5,39.2,36.61,40.53,39.24,36,40.2,38.9,35.98,40.13,38.86
41.5,44.2,43.1,41.47,44.22,43.07,39.8,44.3,42.8,39.75,44.27,42.76,36.5,40.5,39.2,36.61,40.53,39.24,36,40.2,38.9,35.98,40.13,38.86
41.5,44.2,43.1,41.47,44.21,43.07,39.8,44.3,42.8,39.75,44.27,42.76,36.5,40.5,39.2,36.61,40.54,39.24,36,40.2,38.9,35.98,40.13,38.86
41.5,44.2,43.1,41.47,44.21,43.07,39.7,44.2,42.8,39.7,44.22,42.71,36.5,40.5,39.2,36.62,40.54,39.24,36,40.2,38.9,35.98,40.13,38.86
41.5,44.2,43,41.47,44.2,43.06,39.7,44.2,42.8,39.69,44.21,42.71,36.5,40.5,39.3,36.63,40.55,39.25,36.1,40.2,38.9,36,40.13,38.86
41.5,44.2,43,41.47,44.19,43.05,39.7,44.2,42.8,39.69,44.22,42.71,36.5,40.5,39.3,36.63,40.55,39.25,36.1,40.2,38.9,36.02,40.13,38.86
41.5,44.2,43,41.47,44.18,43.04,39.7,44.2,42.8,39.68,44.22,42.71,36.5,40.5,39.3,36.63,40.55,39.26,36.1,40.2,38.9,36.03,40.13,38.86
41.5,44.2,43,41.47,44.18,43.03,39.7,44.2,42.8,39.68,44.22,42.71,36.5,40.5,39.3,36.64,40.56,39.27,36.1,40.2,38.9,36.04,40.13,38.87
41.5,44.2,43,41.47,44.18,43.02,39.7,44.2,42.8,39.68,44.22,42.71,36.5,40.5,39.3,36.64,40.56,39.27,36.1,40.2,38.9,36.04,40.13,38.87
41.5,44.2,43,41.46,44.18,43.02,39.7,44.2,42.8,39.68,44.22,42.71,36.5,40.5,39.3,36.64,40.56,39.27,36.1,40.2,38.9,36.05,40.13,38.87
41.5,44.2,43,41.46,44.17,43.01,39.7,44.2,42.8,39.68,44.22,42.71,36.5,40.5,39.3,36.64,40.56,39.28,36.1,40.2,38.9,36.05,40.13,38.87
41.5,44.2,43,41.46,44.17,43.01,39.7,44.2,42.8,39.68,44.22,42.71,36.5,40.5,39.3,36.64,40.56,39.28,36.1,40.2,38.9,36.06,40.13,38.87
41.5,44.2,43,41.46,44.17,43,39.7,44.2,42.8,39.68,44.22,42.71,36.5,40.5,39.3,36.64,40.55,39.28,36.1,40.2,38.9,36.06,40.13,38.87
41.5,44.2,43,41.46,44.17,43,39.5,44.1,42.6,39.57,44.11,42.61,36.5,40.5,39.3,36.64,40.55,39.28,36.1,40.2,38.9,36.06,40.13,38.87
41.4,44,42.9,41.44,44.14,42.98,39.5,44.1,42.6,39.54,44.09,42.59,36.6,40.5,39.3,36.66,40.56,39.29,36.1,40.2,38.9,36.07,40.13,38.87
41.4,44,42.9,41.44,44.12,42.96,39.5,44.1,42.6,39.52,44.08,42.58,36.6,40.5,39.3,36.67,40.56,39.29,36.1,40.2,38.9,36.07,40.13,38.87
41.4,44,42.9,41.43,44.11,42.95,39.5,44.1,42.6,39.51,44.08,42.58,36.6,40.5,39.3,36.68,40.56,39.29,36.1,40.2,38.9,36.07,40.13,38.87
41.4,44,42.9,41.42,44.09,42.94,39.5,44.1,42.6,39.49,44.07,42.57,36.6,40.5,39.3,36.68,40.56,39.29,36.1,40.2,38.9,36.07,40.13,38.87
41.4,44,42.9,41.42,44.08,42.93,39.5,44.1,42.6,39.48,44.07,42.56,36.6,40.5,39.3,36.68,40.56,39.29,36.1,40.2,38.9,36.07,40.13,38.87
41.4,44,42.9,41.42,44.07,42.92,39.5,44.1,42.6,39.47,44.06,42.56,36.6,40.5,39.3,36.69,40.56,39.29,36.1,40.2,38.9,36.07,40.13,38.87
41.4,44,42.9,41.41,44.06,42.91,39.5,44.1,42.6,39.46,44.06,42.55,36.6,40.5,39.3,36.69,40.56,39.29,36.1,40.2,38.9,36.07,40.13,38.87
41.4,44,42.9,41.41,44.05,42.91,39.5,44.1,42.6,39.45,44.05,42.54,36.6,40.5,39.3,36.69,40.56,39.29,36.1,40.2,38.9,36.08,40.13,38.87
41.4,44,42.9,41.41,44.05,42.9,39.5,44.1,42.6,39.45,44.05,42.54,36.6,40.5,39.3,36.69,40.55,39.29,36.1,40.2,38.9,36.08,40.12,38.87
41.4,44,42.9,41.41,44.04,42.9,39.5,43.9,42.5,39.42,44.02,42.5,36.6,40.5,39.3,36.69,40.55,39.29,36.1,40.2,38.9,36.08,40.12,38.87
41.4,44,42.9,41.41,44.04,42.9,39.5,43.9,42.5,39.42,44,42.49,36.7,40.6,39.3,36.71,40.56,39.3,36.1,40.2,38.9,36.08,40.12,38.87
41.4,44,42.9,41.41,44.03,42.89,39.5,43.9,42.5,39.43,44,42.49,36.7,40.6,39.3,36.73,40.57,39.3,36.1,40.2,38.9,36.08,40.13,38.87
41.4,44,42.9,41.41,44.03,42.89,39.5,43.9,42.5,39.45,44,42.49,36.7,40.6,39.3,36.74,40.58,39.31,36.1,40.2,38.9,36.08,40.13,38.87
41.4,44,42.9,41.41,44.03,42.89,39.5,43.9,42.5,39.47,44.01,42.49,36.7,40.6,39.3,36.75,40.58,39.31,36.1,40.2,38.9,36.08,40.13,38.87
41.4,44,42.9,41.41,44.02,42.88,39.5,43.9,42.5,39.49,44.01,42.49,36.7,40.6,39.3,36.75,40.58,39.31,36.1,40.2,38.9,36.08,40.13,38.87
41.4,44,42.9,41.41,44.02,42.88,39.5,43.9,42.5,39.51,44.02,42.49,36.7,40.6,39.3,36.76,40.59,39.31,36.1,40.2,38.9,36.08,40.13,38.87
41.4,44,42.9,41.41,44.02,42.88,39.5,43.9,42.5,39.53,44.02,42.5,36.7,40.6,39.3,36.76,40.59,39.31,36.1,40.2,38.9,36.09,40.13,38.87
41.4,44,42.9,41.41,44.02,42.88,39.5,43.9,42.5,39.54,44.03,42.5,36.7,40.6,39.3,36.76,40.59,39.31,36.1,40.2,38.9,36.09,40.13,38.87
41.4,44,42.9,41.41,44.02,42.88,39.5,43.9,42.5,39.55,44.03,42.51,36.7,40.6,39.3,36.77,40.59,39.31,36.1,40.2,38.9,36.09,40.13,38.87
41.4,44,42.9,41.41,44.01,42.88,39.4,43.9,42.4,39.53,44,42.48,36.7,40.6,39.3,36.77,40.59,39.31,36.1,40.2,38.9,36.09,40.13,38.87
41.4,43.9,42.8,41.41,43.99,42.86,39.4,43.9,42.4,39.52,43.99,42.47,36.8,40.6,39.3,36.79,40.59,39.31,36.1,40.1,38.9,36.08,40.12,38.87
41.4,43.9,42.8,41.41,43.98,42.85,39.4,43.9,42.4,39.51,43.99,42.47,36.8,40.6,39.3,36.8,40.6,39.31,36.1,40.1,38.9,36.08,40.11,38.86
41.4,43.9,42.8,41.41,43.97,42.84,39.4,43.9,42.4,39.51,43.99,42.47,36.8,40.6,39.3,36.81,40.6,39.32,36.1,40.1,38.9,36.08,40.1,38.86
41.4,43.9,42.8,41.41,43.97,42.84,39.4,43.9,42.4,39.5,43.99,42.47,36.8,40.6,39.3,36.82,40.6,39.32,36.1,40.1,38.9,36.08,40.1,38.86
41.4,43.9,42.8,41.41,43.96,42.83,39.4,43.9,42.4,39.5,43.99,42.47,36.8,40.6,39.3,36.82,40.6,39.32,36.1,40.1,38.9,36.08,40.09,38.85
41.4,43.9,42.8,41.41,43.96,42.82,39.4,43.9,42.4,39.5,43.99,42.47,36.8,40.6,39.3,36.82,40.6,39.32,36.1,40.1,38.9,36.08,40.09,38.85
41.4,43.9,42.8,41.41,43.95,42.82,39.4,43.9,42.4,39.49,43.99,42.47,36.8,40.6,39.3,36.83,40.6,39.32,36.1,40.1,38.9,36.07,40.09,38.85
41.4,43.9,42.8,41.41,43.95,42.82,39.4,43.9,42.4,39.49,43.99,42.47,36.8,40.6,39.3,36.83,40.6,39.31,36.1,40.1,38.9,36.07,40.08,38.85
41.4,43.9,42.8,41.41,43.94,42.81,39.4,43.9,42.4,39.49,43.99,42.47,36.8,40.6,39.3,36.83,40.6,39.31,36.1,40.1,38.9,36.07,40.08,38.85
41.4,43.9,42.8,41.41,43.94,42.81,39.3,43.8,42.4,39.42,43.93,42.41,36.8,40.6,39.3,36.83,40.6,39.31,36.1,40.1,38.9,36.07,40.08,38.85
41.5,43.9,42.8,41.43,43.93,42.81,39.3,43.8,42.4,39.4,43.91,42.4,36.8,40.6,39.3,36.83,40.6,39.31,36.1,40.1,38.8,36.07,40.07,38.84
41.5,43.9,42.8,41.44,43.93,42.81,39.3,43.8,42.4,39.39,43.9,42.39,36.8,40.6,39.3,36.83,40.6,39.31,36.1,40.1,38.8,36.07,40.07,38.84
41.5,43.9,42.8,41.45,43.93,42.81,39.3,43.8,42.4,39.37,43.89,42.38,36.8,40.6,39.3,36.82,40.6,39.31,36.1,40.1,38.8,36.07,40.06,38.83
41.5,43.9,42.8,41.46,43.93,42.8,39.3,43.8,42.4,39.36,43.87,42.37,36.8,40.6,39.3,36.82,40.6,39.31,36.1,40.1,38.8,36.07,40.06,38.82
41.5,43.9,42.8,41.46,43.93,42.8,39.3,43.8,42.4,39.34,43.86,42.36,36.8,40.6,39.3,36.82,40.6,39.31,36.1,40.1,38.8,36.07,40.05,38.82
41.5,43.9,42.8,41.47,43.93,42.8,39.3,43.8,42.4,39.33,43.85,42.35,36.8,40.6,39.3,36.82,40.61,39.31,36.1,40.1,38.8,36.07,40.05,38.82
41.5,43.9,42.8,41.47,43.92,42.8,39.3,43.8,42.4,39.32,43.84,42.35,36.8,40.6,39.3,36.83,40.61,39.31,36.1,40.1,38.8,36.07,40.05,38.81
41.5,43.9,42.8,41.48,43.92,42.8,39.3,43.8,42.4,39.3,43.83,42.34,36.8,40.6,39.3,36.83,40.61,39.31,36.1,40.1,38.8,36.07,40.05,38.81
41.5,43.9,42.8,41.48,43.92,42.8,39.3,43.8,42.4,39.29,43.82,42.33,36.8,40.6,39.3,36.83,40.61,39.31,36.1,40.1,38.8,36.07,40.05,38.81
41.5,43.9,42.8,41.48,43.92,42.8,39.2,43.6,42.3,39.22,43.74,42.26,36.8,40.6,39.3,36.83,40.61,39.31,36.1,40.1,38.8,36.07,40.05,38.81
41.4,43.9,42.8,41.46,43.92,42.79,39.2,43.6,42.3,39.2,43.71,42.23,36.8,40.6,39.3,36.83,40.61,39.31,36.1,40.1,38.8,36.08,40.05,38.81
41.4,43.9,42.8,41.46,43.92,42.79,39.2,43.6,42.3,39.18,43.69,42.22,36.8,40.6,39.3,36.83,40.61,39.31,36.1,40.1,38.8,36.08,40.05,38.81
41.4,43.9,42.8,41.45,43.92,42.79,39.2,43.6,42.3,39.18,43.68,42.21,36.8,40.6,39.3,36.83,40.61,39.31,36.1,40.1,38.8,36.08,40.04,38.81
41.4,43.9,42.8,41.45,43.91,42.79,39.2,43.6,42.3,39.17,43.67,42.2,36.8,40.6,39.3,36.83,40.61,39.31,36.1,40.1,38.8,36.08,40.04,38.81
41.4,43.9,42.8,41.44,43.91,42.78,39.2,43.6,42.3,39.17,43.66,42.19,36.8,40.6,39.3,36.83,40.61,39.31,36.1,40.1,38.8,36.08,40.04,38.81
41.4,43.9,42.8,41.44,43.91,42.78,39.2,43.6,42.3,39.17,43.65,42.18,36.8,40.6,39.3,36.84,40.61,39.31,36.1,40.1,38.8,36.08,40.04,38.81
41.4,43.9,42.8,41.44,43.91,42.78,39.2,43.6,42.3,39.16,43.64,42.18,36.8,40.6,39.3,36.84,40.61,39.31,36.1,40.1,38.8,36.08,40.04,38.8
